部件类别,部件名称,变量1,变量2,变量3,变量4
机身结构部件,机身主体,材质（铝合金/复合材料）,尺寸（适配2-4座）,重量,蒙皮厚度
机身结构部件,机翼,翼展,材质（铝合金/碳纤维）,弦长,是否含襟翼调节机构
机身结构部件,尾翼,水平尾翼尺寸,垂直尾翼高度,材质,舵面行程
机身结构部件,起落架,类型（前三点/后三点）,轮胎规格,减震器行程,承载重量
动力系统部件,航空活塞发动机,功率（HP）,排量,燃油类型（汽油/航空煤油）,启动方式
动力系统部件,螺旋桨,桨叶数量,桨距类型（固定/可调）,直径,材质（木质/金属）
动力系统部件,燃油箱,容积,材质（铝合金/塑料）,安装位置,是否带油量传感器
动力系统部件,启动系统,启动电机功率,蓄电池容量,电压,使用寿命
航电与控制系统,基础航电套件,精度等级,显示方式（指针/数字）,工作电压,适配机型
航电与控制系统,飞行控制系统,操纵方式（钢索/拉杆）,行程范围,灵敏度,适配座椅数量
航电与控制系统,通信电台,频率范围（VHF）,发射功率,接收灵敏度,续航时间
航电与控制系统,导航设备,定位精度,导航模式（GPS/北斗）,屏幕尺寸,抗干扰等级
座舱与安全部件,座舱盖,材质（有机玻璃/复合材料）,透明度,尺寸,开启方式
座舱与安全部件,座椅,数量（2/4座）,材质,承重能力,是否可调节
座舱与安全部件,安全带,类型（三点式/五点式）,材质,承重,适配座椅类型
座舱与安全部件,灭火器/急救包,灭火器类型（干粉/二氧化碳）,急救包规格,有效期,存放位置
辅助部件,刹车系统,刹车类型（盘式/鼓式）,刹车力度,适配轮胎规格,使用寿命
辅助部件,散热系统,散热器尺寸,冷却风扇功率,散热效率,工作温度范围
辅助部件,照明系统,灯光类型（LED/卤素）,功率,照射范围,工作电压
