试验设计方法,核心试验因子
单因子轮换法（OFAT）,发动机转速
单因子轮换法（OFAT）,飞行攻角
单因子轮换法（OFAT）, 环境温度
单因子轮换法（OFAT）,航电工作电压
全因子试验设计,环境温度
全因子试验设计, 振动加速度
全因子试验设计, 航电输入电压
全因子试验设计,工作载荷
部分因子试验设计,马赫数
部分因子试验设计,侧滑角
部分因子试验设计,燃油流量
部分因子试验设计,冷却风速
正交试验设计,风洞攻角
正交试验设计,风洞攻角
正交试验设计,结构载荷
正交试验设计, 环境湿度
响应曲面法（RSM）,燃烧室温度
响应曲面法（RSM）,燃油喷射压力
响应曲面法（RSM）,涡轮转速
响应曲面法（RSM）, 进气压力
均匀设计,高空低气压值
均匀设计,环境温度
均匀设计,振动频率
均匀设计,发动机负荷
拉丁超立方设计（LHD）,多场耦合应力（温度+振动+气压）
拉丁超立方设计（LHD）,材料疲劳载荷
拉丁超立方设计（LHD）,航电噪声干扰
拉丁超立方设计（LHD）,飞行姿态角
序贯试验设计,飞行速度
序贯试验设计,极限载荷
序贯试验设计,颤振激励频率
序贯试验设计,颤振激励频率
